timestamp,price,market_cap,volume
2025-04-09 18:00:00,1662.5331604641576,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-10 18:00:00,1523.928624242526,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-11 18:00:00,1568.131690125936,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-12 18:00:00,1645.8625733156498,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-13 18:00:00,1595.4227460001084,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-14 18:00:00,1621.543195596693,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-15 18:00:00,1587.8222244021401,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-16 18:00:00,1577.7073516760117,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-17 18:00:00,1583.4764497002345,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-18 18:00:00,1589.1516208270755,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-19 18:00:00,1615.0502549158562,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-20 18:00:00,1585.4600253443446,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-21 18:00:00,1577.4465595922347,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-22 18:00:00,1759.7064599311093,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-23 18:00:00,1793.969849485534,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-24 18:00:00,1769.3925107354407,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-25 18:00:00,1788.7981804331257,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-26 18:00:00,1821.2695303291391,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-27 18:00:00,1793.6918440730135,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-28 18:00:00,1799.50191449199,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-29 18:00:00,1796.9720456768928,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-30 18:00:00,1794.0495408617828,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-05-01 18:00:00,1838.8543285925753,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-05-02 18:00:00,1841.427590836958,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-05-03 18:00:00,1834.501911876416,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-05-04 18:00:00,1808.156093844096,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-05-05 18:00:00,1820.0044598893596,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
