timestamp,price,market_cap,volume
2025-04-17 18:00:00,84930.90857600998,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-18 18:00:00,84433.75017215389,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-19 18:00:00,85126.66244301842,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-20 18:00:00,85073.16544858096,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-21 18:00:00,87452.04699068287,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-22 18:00:00,93576.16588573981,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-23 18:00:00,93605.45230873208,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-24 18:00:00,93872.81422867288,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-25 18:00:00,94773.11200643536,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-26 18:00:00,94644.06637120107,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-27 18:00:00,93809.33781968223,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-28 18:00:00,95030.60645474444,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-29 18:00:00,94256.35946318062,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-30 18:00:00,94235.75331048167,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-05-01 18:00:00,96426.94522273027,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-05-02 18:00:00,96855.5681343944,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-05-03 18:00:00,95922.86842404422,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-05-04 18:00:00,94326.62048529249,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-05-05 18:00:00,94758.8237105546,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-05-06 18:00:00,96854.53198815876,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-05-07 18:00:00,97026.49376966801,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-05-08 18:00:00,103076.27555512934,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-05-09 18:00:00,102962.54045692299,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-05-10 18:00:00,104630.8792994166,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
